City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Dhidhdhoo,MV,6.8833,73.1,80.58,77,12,6.73,few clouds
122,Ecublens,CH,46.529,6.5626,52.92,83,79,10.89,broken clouds
123,Gorontalo,ID,0.5412,123.0595,74.86,94,93,2.48,overcast clouds
124,Nome,US,64.5011,-165.4064,28.47,80,20,21.85,few clouds
125,Alyangula,AU,-13.8483,136.4192,83.19,73,94,2.51,overcast clouds
126,Baiyin,CN,36.5583,104.2081,38.52,49,24,2.82,few clouds
127,Villamontes,BO,-21.25,-63.5,99.32,19,19,11.7,few clouds
128,Wakkanai,JP,45.4094,141.6739,35.11,72,91,8.1,light snow
129,Fairbanks,US,64.8378,-147.7164,13.6,84,0,0.0,clear sky
130,Pevek,RU,69.7008,170.3133,6.94,95,100,1.63,light snow
131,Lazaro Cardenas,MX,17.9583,-102.2,84.04,66,0,9.71,clear sky
132,Port Moresby,PG,-9.4431,147.1797,78.22,94,40,3.44,haze
133,Iqaluit,CA,63.7506,-68.5145,2.93,78,75,10.36,broken clouds
134,Takaka,NZ,-40.85,172.8,63.55,67,100,3.78,overcast clouds
135,Kodiak,US,57.79,-152.4072,42.31,100,100,19.57,moderate rain
136,New Norfolk,AU,-42.7826,147.0587,50.92,73,99,1.01,overcast clouds
137,Chuy,UY,-33.6971,-53.4616,71.31,63,3,6.53,clear sky
138,Luderitz,NA,-26.6481,15.1594,61.9,80,20,14.34,few clouds
139,Port-Cartier,CA,50.0334,-66.8654,28.08,83,100,9.13,overcast clouds
140,Bonavista,CA,48.6499,-53.1147,34.63,64,89,9.57,overcast clouds
141,Ancud,CL,-41.8697,-73.8203,58.71,76,31,6.89,scattered clouds
142,Kampot,KH,10.6167,104.1833,78.85,89,82,3.62,broken clouds
143,Batsfjord,NO,70.6345,29.7185,40.78,35,0,9.22,clear sky
144,Atambua,ID,-9.1061,124.8925,75.43,81,100,0.29,overcast clouds
145,Itarema,BR,-2.9248,-39.9167,79.47,72,27,16.22,scattered clouds
146,Thompson,CA,55.7435,-97.8558,21.36,86,100,4.61,light snow
147,Cayenne,GF,4.9333,-52.3333,86.04,66,100,11.5,overcast clouds
148,Charters Towers,AU,-20.1,146.2667,75.74,24,63,17.13,broken clouds
149,Hobart,AU,-42.8794,147.3294,51.26,78,75,5.75,broken clouds
150,Porto Velho,BR,-8.7619,-63.9039,77.05,94,75,9.22,thunderstorm with heavy rain
151,Port Elizabeth,ZA,-33.918,25.5701,63.32,89,0,4.61,clear sky
152,Vanimo,PG,-2.6741,141.3028,77.23,91,82,4.9,broken clouds
153,Ornskoldsvik,SE,63.2909,18.7153,13.15,100,6,5.75,clear sky
154,Mount Gambier,AU,-37.8333,140.7667,51.4,73,59,1.25,broken clouds
155,Gazimurskiy Zavod,RU,51.5461,118.3266,15.82,96,100,1.28,overcast clouds
156,Innisfail,AU,-17.5333,146.0333,77.63,65,0,3.15,clear sky
157,Alofi,NU,-19.0595,-169.9187,80.49,83,40,6.91,scattered clouds
158,Nybro,SE,56.7446,15.9071,42.24,72,100,8.21,overcast clouds
159,Faya,SA,18.3851,42.4509,57.31,71,0,1.54,clear sky
160,Kodino,RU,63.7198,39.6447,26.69,97,47,5.19,scattered clouds
161,Richards Bay,ZA,-28.783,32.0377,70.41,95,66,6.98,broken clouds
162,Batagay-Alyta,RU,67.8006,130.4114,-28.75,92,51,2.84,broken clouds
163,Hamilton,US,39.1834,-84.5333,36.81,85,100,14.97,mist
164,Reconquista,AR,-29.15,-59.65,93.7,20,0,9.89,clear sky
165,Saldanha,ZA,-33.0117,17.9442,59.05,76,69,17.81,broken clouds
166,Korla,CN,41.7597,86.1469,39.45,44,100,3.83,overcast clouds
167,Placer,US,39.0666,-120.7677,60.62,36,0,0.92,clear sky
168,Castro,BR,-24.7911,-50.0119,67.53,62,2,5.7,clear sky
169,Vysokogornyy,RU,50.1167,139.15,8.11,99,98,1.7,overcast clouds
170,Challans,FR,46.8436,-1.8749,59.92,77,100,32.03,overcast clouds
171,Aklavik,CA,68.2191,-135.0107,8.6,85,75,2.3,broken clouds
172,Port Macquarie,AU,-31.4333,152.9167,59.9,53,4,14.32,clear sky
173,Shimoda,JP,34.6667,138.95,49.1,66,30,4.54,scattered clouds
174,Ratnagiri,IN,16.9833,73.3,73.92,59,0,5.79,clear sky
175,Adrar,MR,20.5022,-10.0711,77.88,25,0,10.25,clear sky
176,Wencheng,CN,33.0559,113.7978,49.59,50,24,1.21,few clouds
177,Khasan,RU,42.4308,130.6434,36.73,61,8,4.14,clear sky
178,Shubarshi,KZ,48.5872,57.1869,25.0,82,91,6.38,overcast clouds
179,Opuwo,NA,-18.0607,13.84,77.49,28,83,1.97,broken clouds
180,Jamestown,US,42.097,-79.2353,35.19,74,100,12.66,overcast clouds
181,Pelym,RU,61.0108,61.9978,-6.79,98,39,1.86,scattered clouds
182,Flin Flon,CA,54.7682,-101.865,22.84,80,100,17.27,light snow
183,Mumford,GH,5.2618,-0.759,78.75,83,70,11.39,light rain
184,Taveta,KE,-3.3963,37.6736,71.4,82,84,6.87,broken clouds
185,Seryshevo,RU,51.0933,128.3786,4.37,99,91,5.93,overcast clouds
186,Provideniya,RU,64.3833,-173.3,35.71,93,100,22.37,fog
187,Cidreira,BR,-30.1811,-50.2056,71.22,58,0,5.97,clear sky
188,Caravelas,BR,-17.7125,-39.2481,75.15,92,100,6.64,moderate rain
189,Nyahururu,KE,0.0421,36.3673,54.34,93,100,6.51,light rain
190,Raga,SS,8.4596,25.678,74.91,31,15,3.85,few clouds
191,Dodola,ET,6.9833,39.1833,48.92,69,0,2.42,clear sky
192,Talnakh,RU,69.4865,88.3972,-23.94,98,30,6.42,scattered clouds
193,Mandiana,GN,10.6333,-8.6833,78.96,26,95,1.57,overcast clouds
194,Yellowknife,CA,62.456,-114.3525,1.92,66,20,8.05,few clouds
195,Resplendor,BR,-19.3256,-41.2553,72.0,97,100,2.24,light rain
196,Suhut,TR,38.5311,30.5458,43.7,49,8,6.02,clear sky
197,Broken Hill,AU,-31.95,141.4333,53.56,50,0,9.17,clear sky
198,Faanui,PF,-16.4833,-151.75,79.02,76,100,2.84,overcast clouds
199,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,17.27,scattered clouds
200,Alice Town,BS,25.7167,-79.3,78.75,75,8,4.83,clear sky
201,Along,IN,28.1667,94.7667,54.28,73,24,1.45,few clouds
202,Zyryanka,RU,65.75,150.85,-10.35,98,100,14.74,light snow
203,Catuday,PH,16.2923,119.8062,77.92,78,38,9.48,scattered clouds
204,Gopalpur,IN,19.2667,84.9167,67.98,63,1,6.96,clear sky
205,Anadyr,RU,64.75,177.4833,34.3,86,0,6.71,clear sky
206,Acapulco,MX,16.8634,-99.8901,87.62,62,75,11.5,broken clouds
207,Elliot Lake,CA,46.3834,-82.6331,26.29,67,100,6.96,overcast clouds
208,Oranjestad,AW,12.524,-70.027,85.95,79,20,21.85,few clouds
209,Sabang,ID,5.8933,95.3214,80.69,78,100,22.35,overcast clouds
210,Resistencia,AR,-27.4606,-58.9839,90.09,27,0,9.22,clear sky
211,Ponta Delgada,PT,37.7333,-25.6667,65.5,82,75,6.91,broken clouds
212,Komsomolskiy,UZ,40.4272,71.7189,41.72,70,40,2.3,scattered clouds
213,Broome,US,42.2506,-75.833,41.67,83,100,9.22,overcast clouds
214,Morehead,US,37.2711,-87.1764,43.99,44,100,9.22,overcast clouds
215,Kyabe,TD,9.4515,18.9449,78.51,28,100,3.11,overcast clouds
216,Mahon,ES,39.8885,4.2658,63.16,67,20,9.22,few clouds
217,Sterling,US,39.0062,-77.4286,49.95,58,40,16.11,scattered clouds
218,San Quintin,MX,30.4833,-115.95,67.68,38,0,8.34,clear sky
219,Chany,RU,55.3121,76.7647,16.12,93,100,10.2,light snow
220,Biltine,TD,14.5333,20.9167,75.02,23,12,8.3,few clouds
221,Sioux Lookout,CA,50.1001,-91.917,24.87,80,100,2.3,overcast clouds
222,Keelung,TW,25.1283,121.7419,73.11,86,21,5.37,few clouds
223,Sattahip,TH,12.6664,100.9007,82.98,83,20,4.61,mist
224,Lebedinyy,RU,58.5167,125.5167,2.25,81,99,10.18,overcast clouds
225,Namatanai,PG,-3.6667,152.4333,80.65,76,100,4.85,overcast clouds
226,Tazovskiy,RU,67.4667,78.7,-11.04,98,100,1.43,overcast clouds
227,Padang,ID,-0.9492,100.3543,75.11,95,100,9.42,light rain
228,Salalah,OM,17.0151,54.0924,77.09,69,0,4.61,clear sky
229,Bambanglipuro,ID,-7.95,110.2833,76.39,89,87,2.59,overcast clouds
230,Honningsvag,NO,70.9821,25.9704,37.15,60,91,13.8,overcast clouds
231,Avera,US,33.194,-82.5271,57.54,40,100,11.45,overcast clouds
232,Lahaina,US,20.8783,-156.6825,82.4,75,79,10.2,broken clouds
233,Nouadhibou,MR,20.931,-17.0347,80.58,36,4,12.66,clear sky
234,Cabo San Lucas,MX,22.8909,-109.9124,83.61,58,98,4.38,overcast clouds
235,Barrow,US,71.2906,-156.7887,28.42,74,0,17.27,clear sky
236,Kamenka,RU,51.3223,42.7678,31.39,99,100,2.75,light snow
237,Vadso,NO,70.0744,29.7487,30.36,74,20,16.11,few clouds
238,Zhigansk,RU,66.7697,123.3711,-19.89,91,100,10.98,overcast clouds
239,Marion,US,39.7684,-86.1555,35.2,77,100,17.27,overcast clouds
240,Nizhniy Tsasuchey,RU,50.5167,115.1333,23.63,89,61,7.54,broken clouds
241,Katangli,RU,51.7102,143.2326,13.5,96,60,6.69,broken clouds
242,Hokitika,NZ,-42.7167,170.9667,63.64,63,100,3.69,light rain
243,Hualmay,PE,-11.0964,-77.6139,68.05,74,87,10.25,overcast clouds
244,Norman Wells,CA,65.282,-126.8329,5.04,85,75,3.44,broken clouds
245,Goderich,CA,43.7501,-81.7165,34.92,75,79,3.44,broken clouds
246,Whangarei,NZ,-35.7317,174.3239,66.81,93,62,6.29,broken clouds
247,Havre,FR,49.5833,0.3333,55.8,76,75,24.16,broken clouds
248,Morondava,MG,-20.2833,44.2833,79.9,75,4,8.3,clear sky
249,Ewo,CG,-0.8725,14.8206,72.48,90,100,1.23,light rain
250,Namibe,AO,-15.1961,12.1522,68.22,79,41,7.47,scattered clouds
251,Megion,RU,61.0296,76.1136,-12.98,96,15,6.82,few clouds
252,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,71.42,62,3,4.72,clear sky
253,Sillod,IN,20.3,75.65,65.17,46,0,2.17,clear sky
254,Cochrane,CA,51.1834,-114.4687,31.21,68,40,19.57,scattered clouds
255,Kahului,US,20.8947,-156.47,82.42,64,20,18.41,few clouds
256,Souillac,MU,-20.5167,57.5167,71.98,73,75,4.61,broken clouds
257,Dzialdowo,PL,53.2396,20.17,33.26,79,79,14.05,broken clouds
258,Latung,PH,5.5,120.8833,81.37,76,100,1.45,heavy intensity rain
259,Praya,CV,14.9215,-23.5087,79.34,61,20,9.22,few clouds
260,Tautira,PF,-17.7333,-149.15,77.31,81,90,7.85,overcast clouds
261,Indiaroba,BR,-11.5192,-37.5117,76.46,85,57,6.11,broken clouds
262,Bandarbeyla,SO,9.4942,50.8122,78.4,71,6,14.63,clear sky
263,Ponta Do Sol,PT,32.6667,-17.1,71.01,86,67,8.16,broken clouds
264,Naze,JP,28.3667,129.4833,68.92,68,100,13.2,overcast clouds
265,Walvis Bay,NA,-22.9575,14.5053,61.75,82,0,5.75,clear sky
266,Khani,GE,41.9563,42.9566,44.17,58,100,3.94,overcast clouds
267,Inuvik,CA,68.3499,-133.7218,22.06,56,75,5.75,broken clouds
268,Victoria,HK,22.2855,114.1577,75.38,84,97,10.0,overcast clouds
269,Rjukan,NO,59.8789,8.5941,33.71,93,100,7.87,light snow
270,Saint-Louis,SN,16.3333,-15.0,89.94,27,7,8.61,clear sky
271,Klaksvik,FO,62.2266,-6.589,49.12,86,98,34.47,light rain
272,Sitka,US,57.0531,-135.33,48.09,81,20,4.61,few clouds
273,Yumen,CN,40.2833,97.2,29.23,32,1,3.42,clear sky
274,Mogadishu,SO,2.0371,45.3438,79.32,81,1,12.53,clear sky
275,Chumikan,RU,54.7183,135.315,7.93,86,44,13.96,scattered clouds
276,Grindavik,IS,63.8424,-22.4338,46.35,81,75,17.27,broken clouds
277,Lagoa,PT,39.05,-27.9833,62.8,84,7,16.4,clear sky
278,Ahipara,NZ,-35.1667,173.1667,66.74,66,21,7.83,few clouds
279,Sukaraja,ID,-7.4519,108.1944,73.58,97,95,1.92,overcast clouds
