City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Zaragoza,ES,2022-11-13 20:15:44,41.6561,-0.8773,58.01,80,40,4.61
135,Sao Paulo De Olivenca,BR,2022-11-13 20:15:44,-3.3783,-68.8725,84.06,72,100,1.25
136,Mega,ET,2022-11-13 20:15:44,4.05,38.3,61.27,76,4,5.79
137,Nishihara,JP,2022-11-13 20:15:45,26.1842,127.7558,72.68,78,75,19.57
138,Tiksi,RU,2022-11-13 20:15:45,71.6872,128.8694,-10.01,93,100,4.94
139,Berlevag,NO,2022-11-13 20:15:45,70.8578,29.0864,33.8,80,0,10.36
140,Sisophon,KH,2022-11-13 20:15:46,13.5859,102.9737,75.06,94,100,4.88
141,Provideniya,RU,2022-11-13 20:15:46,64.3833,-173.3,13.14,61,5,5.26
142,Pitelino,RU,2022-11-13 20:15:46,54.5777,41.8145,37.87,76,100,20.62
143,Sidi Ali,DZ,2022-11-13 20:15:47,36.0998,0.4206,64.85,59,0,5.35
144,Naliya,IN,2022-11-13 20:15:47,23.2667,68.8333,76.08,59,0,7.67
145,Rafraf,TN,2022-11-13 20:15:47,37.1904,10.1837,59.31,68,81,4.65
146,San Carlos De Bariloche,AR,2022-11-13 20:15:48,-41.1456,-71.3082,55.15,54,40,25.32
147,Jaca,ES,2022-11-13 20:13:16,42.569,-0.5499,57.02,91,1,4.21
148,Kaitangata,NZ,2022-11-13 20:15:48,-46.2817,169.8464,52.14,77,87,10.04
149,Bambanglipuro,ID,2022-11-13 20:15:48,-7.95,110.2833,76.24,91,100,1.66
150,Bathsheba,BB,2022-11-13 20:14:51,13.2167,-59.5167,83.01,78,75,17.27
151,Yumen,CN,2022-11-13 20:15:49,40.2833,97.2,28.92,46,0,7.18
152,Tocopilla,CL,2022-11-13 20:11:53,-22.092,-70.1979,69.62,57,20,7.07
153,Haines Junction,CA,2022-11-13 20:15:49,60.7522,-137.5108,37.35,60,100,5.75
154,Torbay,CA,2022-11-13 20:15:50,47.6666,-52.7314,36.75,88,75,6.91
155,Petropavlovsk-Kamchatskiy,RU,2022-11-13 20:15:05,53.0452,158.6483,12.79,67,0,11.18
156,Camacha,PT,2022-11-13 20:15:50,33.0833,-16.3333,65.62,88,40,6.91
157,Gumdag,TM,2022-11-13 20:15:50,39.2061,54.5906,53.15,86,62,8.34
158,Lubango,AO,2022-11-13 20:15:51,-14.9172,13.4925,63.66,27,15,3.85
159,Mbanza-Ngungu,CD,2022-11-13 20:15:51,-5.25,14.8667,69.85,78,56,2.68
160,Datia,IN,2022-11-13 20:15:51,25.6667,78.4667,67.86,43,0,3.47
161,Natal,BR,2022-11-13 20:10:54,-5.795,-35.2094,81.25,78,75,11.5
162,Thompson,CA,2022-11-13 20:15:52,55.7435,-97.8558,15.96,73,75,4.61
163,Darapidap,PH,2022-11-13 20:15:52,17.2131,120.4114,76.96,78,12,4.12
164,Pangnirtung,CA,2022-11-13 20:15:53,66.1451,-65.7125,14.0,73,75,3.44
165,Broome,US,2022-11-13 20:13:24,42.2506,-75.833,43.63,72,100,6.91
166,Guerrero Negro,MX,2022-11-13 20:15:53,27.9769,-114.0611,67.77,51,4,16.31
167,Guangyuan,CN,2022-11-13 20:15:54,32.442,105.823,45.36,90,31,4.25
168,Naifaru,MV,2022-11-13 20:15:54,5.4444,73.3657,81.19,75,77,7.99
169,Paamiut,GL,2022-11-13 20:15:54,61.994,-49.6678,32.81,79,100,18.1
170,Ponta Delgada,PT,2022-11-13 20:15:54,37.7333,-25.6667,61.52,77,40,5.75
171,Idrinskoye,RU,2022-11-13 20:15:55,54.3708,92.1358,37.02,71,100,13.91
172,Humberto De Campos,BR,2022-11-13 20:15:55,-2.5983,-43.4611,83.23,68,9,9.1
173,Tasiilaq,GL,2022-11-13 20:15:55,65.6145,-37.6368,44.76,56,100,30.96
